STATISTIC Label,Year,Road User Type,UNIT,VALUE
Persons Killed,2000,All road users,Number,415
Persons Killed,2000,Pedestrians,Number,85
Persons Killed,2000,Pedal cyclists,Number,10
Persons Killed,2000,Motor cyclists,Number,39
Persons Killed,2000,All Car users,Number,260
Persons Killed,2000,PSV users,Number,
Persons Killed,2000,Goods vehicle users,Number,
Persons Killed,2000,Other road users,Number,21
Persons Killed,2000,Other or unknown road users,Number,
Persons Killed,2001,All road users,Number,411
Persons Killed,2001,Pedestrians,Number,89
Persons Killed,2001,Pedal cyclists,Number,12
Persons Killed,2001,Motor cyclists,Number,50
Persons Killed,2001,All Car users,Number,230
Persons Killed,2001,PSV users,Number,
Persons Killed,2001,Goods vehicle users,Number,
Persons Killed,2001,Other road users,Number,30
Persons Killed,2001,Other or unknown road users,Number,
Persons Killed,2002,All road users,Number,376
Persons Killed,2002,Pedestrians,Number,86
Persons Killed,2002,Pedal cyclists,Number,18
Persons Killed,2002,Motor cyclists,Number,44
Persons Killed,2002,All Car users,Number,200
Persons Killed,2002,PSV users,Number,
Persons Killed,2002,Goods vehicle users,Number,
Persons Killed,2002,Other road users,Number,28
Persons Killed,2002,Other or unknown road users,Number,
Persons Killed,2003,All road users,Number,335
Persons Killed,2003,Pedestrians,Number,64
Persons Killed,2003,Pedal cyclists,Number,11
Persons Killed,2003,Motor cyclists,Number,55
Persons Killed,2003,All Car users,Number,172
Persons Killed,2003,PSV users,Number,
Persons Killed,2003,Goods vehicle users,Number,
Persons Killed,2003,Other road users,Number,33
Persons Killed,2003,Other or unknown road users,Number,
Persons Killed,2004,All road users,Number,374
Persons Killed,2004,Pedestrians,Number,70
Persons Killed,2004,Pedal cyclists,Number,11
Persons Killed,2004,Motor cyclists,Number,50
Persons Killed,2004,All Car users,Number,208
Persons Killed,2004,PSV users,Number,
Persons Killed,2004,Goods vehicle users,Number,
Persons Killed,2004,Other road users,Number,35
Persons Killed,2004,Other or unknown road users,Number,
Persons Killed,2005,All road users,Number,396
Persons Killed,2005,Pedestrians,Number,74
Persons Killed,2005,Pedal cyclists,Number,10
Persons Killed,2005,Motor cyclists,Number,56
Persons Killed,2005,All Car users,Number,222
Persons Killed,2005,PSV users,Number,
Persons Killed,2005,Goods vehicle users,Number,
Persons Killed,2005,Other road users,Number,34
Persons Killed,2005,Other or unknown road users,Number,
Persons Killed,2006,All road users,Number,365
Persons Killed,2006,Pedestrians,Number,73
Persons Killed,2006,Pedal cyclists,Number,9
Persons Killed,2006,Motor cyclists,Number,29
Persons Killed,2006,All Car users,Number,226
Persons Killed,2006,PSV users,Number,
Persons Killed,2006,Goods vehicle users,Number,
Persons Killed,2006,Other road users,Number,28
Persons Killed,2006,Other or unknown road users,Number,
Persons Killed,2007,All road users,Number,338
Persons Killed,2007,Pedestrians,Number,81
Persons Killed,2007,Pedal cyclists,Number,15
Persons Killed,2007,Motor cyclists,Number,33
Persons Killed,2007,All Car users,Number,171
Persons Killed,2007,PSV users,Number,1
Persons Killed,2007,Goods vehicle users,Number,32
Persons Killed,2007,Other road users,Number,
Persons Killed,2007,Other or unknown road users,Number,5
Persons Killed,2008,All road users,Number,279
Persons Killed,2008,Pedestrians,Number,49
Persons Killed,2008,Pedal cyclists,Number,13
Persons Killed,2008,Motor cyclists,Number,29
Persons Killed,2008,All Car users,Number,160
Persons Killed,2008,PSV users,Number,0
Persons Killed,2008,Goods vehicle users,Number,20
Persons Killed,2008,Other road users,Number,
Persons Killed,2008,Other or unknown road users,Number,8
Persons Killed,2009,All road users,Number,238
Persons Killed,2009,Pedestrians,Number,40
Persons Killed,2009,Pedal cyclists,Number,7
Persons Killed,2009,Motor cyclists,Number,25
Persons Killed,2009,All Car users,Number,146
Persons Killed,2009,PSV users,Number,1
Persons Killed,2009,Goods vehicle users,Number,17
Persons Killed,2009,Other road users,Number,
Persons Killed,2009,Other or unknown road users,Number,2
Persons Killed,2010,All road users,Number,212
Persons Killed,2010,Pedestrians,Number,44
Persons Killed,2010,Pedal cyclists,Number,5
Persons Killed,2010,Motor cyclists,Number,17
Persons Killed,2010,All Car users,Number,130
Persons Killed,2010,PSV users,Number,1
Persons Killed,2010,Goods vehicle users,Number,10
Persons Killed,2010,Other road users,Number,
Persons Killed,2010,Other or unknown road users,Number,5
Persons Killed,2011,All road users,Number,186
Persons Killed,2011,Pedestrians,Number,47
Persons Killed,2011,Pedal cyclists,Number,9
Persons Killed,2011,Motor cyclists,Number,18
Persons Killed,2011,All Car users,Number,95
Persons Killed,2011,PSV users,Number,0
Persons Killed,2011,Goods vehicle users,Number,17
Persons Killed,2011,Other road users,Number,
Persons Killed,2011,Other or unknown road users,Number,0
Persons Killed,2012,All road users,Number,163
Persons Killed,2012,Pedestrians,Number,29
Persons Killed,2012,Pedal cyclists,Number,8
Persons Killed,2012,Motor cyclists,Number,19
Persons Killed,2012,All Car users,Number,90
Persons Killed,2012,PSV users,Number,1
Persons Killed,2012,Goods vehicle users,Number,12
Persons Killed,2012,Other road users,Number,
Persons Killed,2012,Other or unknown road users,Number,4
Persons Killed,2013,All road users,Number,188
Persons Killed,2013,Pedestrians,Number,31
Persons Killed,2013,Pedal cyclists,Number,5
Persons Killed,2013,Motor cyclists,Number,26
Persons Killed,2013,All Car users,Number,107
Persons Killed,2013,PSV users,Number,0
Persons Killed,2013,Goods vehicle users,Number,14
Persons Killed,2013,Other road users,Number,
Persons Killed,2013,Other or unknown road users,Number,5
Persons Killed,2014,All road users,Number,192
Persons Killed,2014,Pedestrians,Number,41
Persons Killed,2014,Pedal cyclists,Number,13
Persons Killed,2014,Motor cyclists,Number,24
Persons Killed,2014,All Car users,Number,103
Persons Killed,2014,PSV users,Number,0
Persons Killed,2014,Goods vehicle users,Number,8
Persons Killed,2014,Other road users,Number,
Persons Killed,2014,Other or unknown road users,Number,3
Persons Killed,2015,All road users,Number,162
Persons Killed,2015,Pedestrians,Number,31
Persons Killed,2015,Pedal cyclists,Number,10
Persons Killed,2015,Motor cyclists,Number,22
Persons Killed,2015,All Car users,Number,89
Persons Killed,2015,PSV users,Number,0
Persons Killed,2015,Goods vehicle users,Number,6
Persons Killed,2015,Other road users,Number,
Persons Killed,2015,Other or unknown road users,Number,4
Persons Killed,2016,All road users,Number,182
Persons Killed,2016,Pedestrians,Number,35
Persons Killed,2016,Pedal cyclists,Number,10
Persons Killed,2016,Motor cyclists,Number,22
Persons Killed,2016,All Car users,Number,106
Persons Killed,2016,PSV users,Number,0
Persons Killed,2016,Goods vehicle users,Number,8
Persons Killed,2016,Other road users,Number,
Persons Killed,2016,Other or unknown road users,Number,1
Persons Killed,2017,All road users,Number,154
Persons Killed,2017,Pedestrians,Number,31
Persons Killed,2017,Pedal cyclists,Number,14
Persons Killed,2017,Motor cyclists,Number,19
Persons Killed,2017,All Car users,Number,78
Persons Killed,2017,PSV users,Number,0
Persons Killed,2017,Goods vehicle users,Number,9
Persons Killed,2017,Other road users,Number,
Persons Killed,2017,Other or unknown road users,Number,3
Persons Killed,2018,All road users,Number,134
Persons Killed,2018,Pedestrians,Number,39
Persons Killed,2018,Pedal cyclists,Number,9
Persons Killed,2018,Motor cyclists,Number,15
Persons Killed,2018,All Car users,Number,59
Persons Killed,2018,PSV users,Number,1
Persons Killed,2018,Goods vehicle users,Number,7
Persons Killed,2018,Other road users,Number,
Persons Killed,2018,Other or unknown road users,Number,4
Persons Killed,2019,All road users,Number,140
Persons Killed,2019,Pedestrians,Number,27
Persons Killed,2019,Pedal cyclists,Number,8
Persons Killed,2019,Motor cyclists,Number,16
Persons Killed,2019,All Car users,Number,81
Persons Killed,2019,PSV users,Number,0
Persons Killed,2019,Goods vehicle users,Number,6
Persons Killed,2019,Other road users,Number,
Persons Killed,2019,Other or unknown road users,Number,2
Persons Killed,2020,All road users,Number,141
Persons Killed,2020,Pedestrians,Number,31
Persons Killed,2020,Pedal cyclists,Number,10
Persons Killed,2020,Motor cyclists,Number,17
Persons Killed,2020,All Car users,Number,68
Persons Killed,2020,PSV users,Number,0
Persons Killed,2020,Goods vehicle users,Number,12
Persons Killed,2020,Other road users,Number,
Persons Killed,2020,Other or unknown road users,Number,3
Persons Killed,2021,All road users,Number,132
Persons Killed,2021,Pedestrians,Number,19
Persons Killed,2021,Pedal cyclists,Number,7
Persons Killed,2021,Motor cyclists,Number,22
Persons Killed,2021,All Car users,Number,79
Persons Killed,2021,PSV users,Number,1
Persons Killed,2021,Goods vehicle users,Number,3
Persons Killed,2021,Other road users,Number,
Persons Killed,2021,Other or unknown road users,Number,1
Persons Killed,2022,All road users,Number,152
Persons Killed,2022,Pedestrians,Number,42
Persons Killed,2022,Pedal cyclists,Number,7
Persons Killed,2022,Motor cyclists,Number,23
Persons Killed,2022,All Car users,Number,71
Persons Killed,2022,PSV users,Number,0
Persons Killed,2022,Goods vehicle users,Number,5
Persons Killed,2022,Other road users,Number,
Persons Killed,2022,Other or unknown road users,Number,4
Persons Killed,2023,All road users,Number,179
Persons Killed,2023,Pedestrians,Number,43
Persons Killed,2023,Pedal cyclists,Number,9
Persons Killed,2023,Motor cyclists,Number,25
Persons Killed,2023,All Car users,Number,85
Persons Killed,2023,PSV users,Number,0
Persons Killed,2023,Goods vehicle users,Number,10
Persons Killed,2023,Other road users,Number,
Persons Killed,2023,Other or unknown road users,Number,7
Persons Killed,2024,All road users,Number,171
Persons Killed,2024,Pedestrians,Number,33
Persons Killed,2024,Pedal cyclists,Number,11
Persons Killed,2024,Motor cyclists,Number,17
Persons Killed,2024,All Car users,Number,95
Persons Killed,2024,PSV users,Number,0
Persons Killed,2024,Goods vehicle users,Number,6
Persons Killed,2024,Other road users,Number,
Persons Killed,2024,Other or unknown road users,Number,9
